メニュー名,カテゴリ,所要時間（分）,料金（税込）,説明,公開
ナチュラル 80本,アイラッシュ,60,5500,自まつ毛を活かしたさりげないボリューム。両目/オフ込/コーティング込,Yes
キュート 100本,アイラッシュ,75,6600,程よい目力。日常使いのスタンダード。両目/オフ込/コーティング込,Yes
エレガント 120本,アイラッシュ,90,7700,華やかさとナチュラルの両立。両目/オフ込/コーティング込,Yes
ゴージャス 140本,アイラッシュ,100,8800,しっかりボリューム。目元の印象を最大限に。両目/オフ込/コーティング込,Yes
付け放題（〜200本）,アイラッシュ,120,10100,自まつ毛の本数に合わせて最大級の仕上がり。両目/オフ込/コーティング込,Yes
ナチュラルリフト（まつ毛パーマ）,アイラッシュ,60,5500,根元からやさしく立ち上げるナチュラルパーマ,Yes
パリジェンヌリフト,アイラッシュ,70,6600,目が一回り大きく見える人気のリフトアップ,Yes
リペア 〜40本（2週間以内）,アイラッシュ,30,2800,付け足し。装着日から2週間以内限定,Yes
リペア 〜100本（3週間以内）,アイラッシュ,60,5500,付け足し。装着日から3週間以内限定,Yes
カラー／ブラウンmix,アイラッシュ,0,550,カラーラッシュミックス（施術に合算）,Yes
高級セーブル／フラットへのグレードアップ,アイラッシュ,0,1100,軽やかでしなやかな質感に,Yes
アイブロウカット,アイブロウ,20,1100,お顔立ちに合わせて眉の形を整える,Yes
ブロウワックス,アイブロウ,30,2200,産毛までまとめて除去しクリアな眉印象に,Yes
ブロウラミネーション,アイブロウ,60,5500,眉毛の流れを整えふんわり立体的な眉を長期キープ,Yes
カット,ヘア,60,4400,シャンプー・ブロー込み,Yes
キッズカット（〜小学生）,ヘア,30,2750,お子様カット,Yes
前髪カット,ヘア,15,1100,前髪のみカット,Yes
リタッチカラー,ヘア,90,5500,根元のみ。シャンプー・ブロー込み,Yes
フルカラー,ヘア,120,7700,全体カラー。長さ・毛量により追加,Yes
ハイライト,ヘア,150,8800,ハイライト単品。長さ・毛量により追加,Yes
ダブルカラー／ブリーチ,ヘア,180,13200,ブリーチ込み。長さ・毛量により追加,Yes
パーマ,ヘア,120,8250,シャンプー・ブロー込み,Yes
デジタルパーマ,ヘア,150,11000,シャンプー・ブロー込み,Yes
ベーシックトリートメント,ヘア,30,3300,単品トリートメント,Yes
プレミアムトリートメント,ヘア,45,5500,上位トリートメント,Yes
カット＋カラー,ヘア,150,9350,人気セット,Yes
カット＋カラー＋トリートメント,ヘア,180,11550,ダメージケア込み人気No.1,Yes
カット＋パーマ,ヘア,180,11550,カット＋パーマセット,Yes
カット＋ヘッドスパ,ヘア,90,7150,癒しのセット,Yes
ヘアアレンジ,ヘア,45,4510,特別な日のアレンジ,Yes
ドライヘッドスパ 20分,ヘッドスパ,25,3300,短時間リフレッシュ,Yes
ドライヘッドスパ 30分,ヘッドスパ,35,4400,しっかり癒しコース,Yes
着付け 浴衣,着付け,30,5500,ヘアセット別途,Yes
着付け 袴,着付け,45,8800,ヘアセット別途,Yes
着付け 振袖,着付け,60,13200,ヘアセット別途,Yes
First Lash（初回限定 キュート100本）,初回限定,75,5500,初回限定価格（通常6600）,Yes
First Lift（初回限定 ナチュラルリフト）,初回限定,60,4400,初回限定価格（通常5500）,Yes
他店オフ,初回限定,20,0,初回限定無料（通常1100）,Yes
